Sample Chr Start LTR Strand End Distance Intron/Exon/Distance Ref_ID Gene Strand TxStart TxEnd
PT1_Y11.4 chr22 30514664 5' > 30514391 273 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30514808 600 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30514848 560 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30514946 462 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30514957 451 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30514965 443 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515006 402 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515036 372 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515049 359 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515056 352 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515070 338 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515076 332 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515092 316 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515114 294 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515120 288 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515127 281 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515141 267 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515145 263 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515150 258 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515156 252 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515159 249 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515170 238 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515176 232 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515181 227 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515186 222 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515193 215 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515204 204 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515209 199 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515213 195 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515218 190 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515223 185 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515226 182 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515230 178 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515235 173 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515239 169 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515245 163 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515253 155 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515257 151 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515262 146 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515269 139 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515273 135 intron NM_152510 HORMAD2 + 30476452 30573062
